host id,host url,name,host since,location,response time,response rate,is superhost,neighbourhood,listingsCount,verifications,has profile pic,identity verified
3903207,https://www.airbnb.com/users/show/3903207,Graziano,2012-10-17,"London, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook']",t,f
37251098,https://www.airbnb.com/users/show/37251098,Mel,2015-07-01,"Kingston upon Thames, England, United Kingdom",within an hour,100%,f,,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t
5733157,https://www.airbnb.com/users/show/5733157,Helen,2013-04-02,United Kingdom,within a day,91%,t,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",t,t
11828397,https://www.airbnb.com/users/show/11828397,Kate,2014-02-01,AU,a few days or more,0%,f,RB of Kingston upon Thames,1.0,"['email', 'phone']",t,f
52632402,https://www.airbnb.com/users/show/52632402,Roz,2015-12-29,"Kingston upon Thames, England, United Kingdom",within a few hours,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
69018624,https://www.airbnb.com/users/show/69018624,Dafina,2016-04-26,"London, England, United Kingdom",a few days or more,40%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook']",t,f
77455144,https://www.airbnb.com/users/show/77455144,Eda,2016-06-13,"London, England, United Kingdom",within a day,100%,f,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t
16057345,https://www.airbnb.com/users/show/16057345,Judy,2016-04-27,"Kingston upon Thames, England, United Kingdom",within a day,50%,f,,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
56243319,https://www.airbnb.com/users/show/56243319,Jonathan,2016-01-26,"London, England, United Kingdom",within a few hours,89%,f,,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f
101540801,https://www.airbnb.com/users/show/101540801,Hyunju,2016-10-27,GB,within an hour,100%,f,RB of Kingston upon Thames,2.0,"['email', 'phone', 'reviews']",t,f
35688812,https://www.airbnb.com/users/show/35688812,Emma-Jane,2015-06-13,"Claygate, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
93463316,https://www.airbnb.com/users/show/93463316,Sue,2016-09-04,"Hook Chessington, Nr Kingston upon Thames Surrey.",,,t,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
153522860,https://www.airbnb.com/users/show/153522860,Tomás,2017-10-06,"London, England, United Kingdom",,,f,,1.0,"['email', 'phone', 'facebook']",t,f
22436861,https://www.airbnb.com/users/show/22436861,Ray,2014-10-12,London,,,f,RB of Kingston upon Thames,2.0,"['email', 'phone', 'reviews']",t,f
3059534,https://www.airbnb.com/users/show/3059534,Ester,2012-07-26,"Surbiton, Surrey, England",within a few hours,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
158527824,https://www.airbnb.com/users/show/158527824,Zuzana,2017-11-13,"London, England, United Kingdom",,,f,,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
8287042,https://www.airbnb.com/users/show/8287042,Michelle,2013-08-20,"Stockholm, Stockholm County, Sweden",within an hour,63%,f,,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
80427597,https://www.airbnb.com/users/show/80427597,Melanie,2016-06-28,"Coventry, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'work_email']",t,f
175894719,https://www.airbnb.com/users/show/175894719,Megha,2018-02-28,GB,a few days or more,0%,f,,1.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
109310548,https://www.airbnb.com/users/show/109310548,Sidney,2017-01-01,"London, England, United Kingdom",within an hour,100%,f,,1.0,"['email', 'phone', 'facebook', 'reviews']",t,t
134976751,https://www.airbnb.com/users/show/134976751,Katie,2017-06-13,"London, England, United Kingdom",within an hour,100%,f,,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t
4532610,https://www.airbnb.com/users/show/4532610,Stephanie & Mike,2012-12-30,"Surbiton, England, United Kingdom",within an hour,100%,t,,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t
131279014,https://www.airbnb.com/users/show/131279014,Chris,2017-05-21,"London, England, United Kingdom",,,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook']",t,f
173161099,https://www.airbnb.com/users/show/173161099,Ross,2018-02-13,GB,within an hour,100%,f,RB of Kingston upon Thames,1.0,['phone'],t,f
4846063,https://www.airbnb.com/users/show/4846063,Renata,2013-01-25,"Kingston upon Thames, England, United Kingdom",within a day,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t
158821251,https://www.airbnb.com/users/show/158821251,Amrit,2017-11-15,"England, United Kingdom",a few days or more,0%,f,,1.0,['phone'],t,f
5812163,https://www.airbnb.com/users/show/5812163,Chris,2013-04-07,"Chessington, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,2.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,f
55501592,https://www.airbnb.com/users/show/55501592,Steven,2016-01-21,"Surbiton, England, United Kingdom",within a day,100%,f,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'government_id']",t,t
96846766,https://www.airbnb.com/users/show/96846766,Kirsty,2016-09-26,"Chessington, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
24356129,https://www.airbnb.com/users/show/24356129,Fiona,2014-12-01,"England, United Kingdom",within an hour,100%,f,,2.0,"['email', 'phone', 'reviews', 'jumio']",t,t
159693235,https://www.airbnb.com/users/show/159693235,Abba,2017-11-22,GB,a few days or more,0%,f,,1.0,"['email', 'phone']",t,f
138576445,https://www.airbnb.com/users/show/138576445,Simon,2017-07-04,"London, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,2.0,"['email', 'phone', 'reviews']",t,f
45848933,https://www.airbnb.com/users/show/45848933,Sarah,2015-10-05,"London, England, United Kingdom",within a few hours,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
26635888,https://www.airbnb.com/users/show/26635888,Jacqui,2015-01-24,"Kingston upon Thames, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
57436489,https://www.airbnb.com/users/show/57436489,Laura,2016-02-04,"Wales, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
115220495,https://www.airbnb.com/users/show/115220495,Lauren,2017-02-06,"Royal Borough of Kingston upon Thames, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t
107474644,https://www.airbnb.com/users/show/107474644,Askar,2016-12-16,"Kingston upon Thames, England, United Kingdom",within an hour,64%,f,,1.0,"['email', 'phone', 'facebook', 'reviews', 'work_email']",t,f
18158977,https://www.airbnb.com/users/show/18158977,Amy,2014-07-15,"London, United Kingdom",within an hour,89%,t,,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",t,t
33756258,https://www.airbnb.com/users/show/33756258,Hannah,2015-05-19,"London, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,3.0,"['email', 'phone', 'reviews', 'jumio']",t,t
54385939,https://www.airbnb.com/users/show/54385939,Cassandra,2016-01-12,"London, England, United Kingdom",,,f,,1.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",t,t
30190840,https://www.airbnb.com/users/show/30190840,Caroline,2015-03-29,"London, United Kingdom",,,t,,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t
16864616,https://www.airbnb.com/users/show/16864616,"Rees, Haja & Anthea",2014-06-16,"London, England, United Kingdom",within an hour,95%,t,RB of Kingston upon Thames,3.0,"['email', 'phone', 'reviews', 'jumio']",t,t
127213226,https://www.airbnb.com/users/show/127213226,Kate,2017-04-23,"London, England, United Kingdom",,,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook']",t,f
158481623,https://www.airbnb.com/users/show/158481623,Irene,2017-11-12,"Corfu, Greece",within an hour,100%,f,,1.0,"['email', 'phone', 'reviews']",t,f
57245843,https://www.airbnb.com/users/show/57245843,Gary,2016-02-03,"Kingston upon Thames, England, United Kingdom",within a few hours,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
152471611,https://www.airbnb.com/users/show/152471611,Austin,2017-09-28,"London, England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f
93689607,https://www.airbnb.com/users/show/93689607,Magdalene,2016-09-05,GB,within a day,100%,f,,1.0,"['email', 'phone', 'reviews']",t,f
33292052,https://www.airbnb.com/users/show/33292052,Christopher,2015-05-13,"London, United Kingdom",within a day,50%,f,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
25047926,https://www.airbnb.com/users/show/25047926,Jason,2014-12-21,"London, England, United Kingdom",,,f,,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f
20791488,https://www.airbnb.com/users/show/20791488,Alison,2014-09-01,"New Malden, England, United Kingdom",,,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
11618503,https://www.airbnb.com/users/show/11618503,Claire,2014-01-25,"England, United Kingdom",within an hour,75%,f,RB of Kingston upon Thames,1.0,"['email', 'phone']",t,f
144846939,https://www.airbnb.com/users/show/144846939,Leila,2017-08-07,"England, United Kingdom",within an hour,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews']",t,f
20838021,https://www.airbnb.com/users/show/20838021,Anita,2014-09-02,"New Malden, England, United Kingdom",within a few hours,100%,f,RB of Kingston upon Thames,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t
117250952,https://www.airbnb.com/users/show/117250952,Mireille,2017-02-20,"London, England, United Kingdom",within a few hours,100%,f,,1.0,"['email', 'phone', 'reviews']",t,f
