Location,Country
Afghanistan,Asia
Albania,Europe
Anguilla,North America
Antigua and Barbuda,North America
Antwerp,Netherlands
Rio Grande,Argentina
San Lorenzo,Argentina
San Pedro,Argentina
Armenia,Asia
Albany,Australia
Ardrossan,Australia
Australia,Australia
Norfolk Island,Australia
Portland,Australia
Sydney,Australia
Austria,Europe
Azerbaijan,Asia
Bahamas,North America
Bahrain,Asia
Bangladesh,Asia
Barbados,North America
Belarus,Europe
Antwerp,Belgium
Belgium,Europe
Belize,North America
Cotonou,Benin
Bermuda,Bermuda
Rio Grande,Brazil
Brunei,Asia
Bulgaria,Europe
Cambodia,Asia
Canada,North America
Chatham,Canada
Iona,Canada
Liverpool,Canada
Sydney,Canada
Weymouth,Canada
Cayman Islands,North America
China,Asia
Christmas Island,Australia
Cartagena,Colombia
Puerto Bolivar,Colombia
Republic of Congo,Africa
Banana,"Congo, Democratic Republic of"
Matadi,"Congo, Democratic Republic of"
Cook Islands,Australia
Costa Rica,North America
Abidjan,Cote D'ivoire
Croatia,Europe
Cuba,North America
Manzanillo,Cuba
Matanzas,Cuba
Cyprus,Europe
Denmark,Europe
Djibouti,Africa
Djibouti,Djibouti
Dominica,North America
Dominican Republic,North America
Manzanillo,Dominican Republic
Puerto Bolivar,Ecuador
San Lorenzo,Ecuador
El Salvador,North America
Estonia,Europe
Faroe Islands,Europe
Fiji,Australia
Finland,Europe
France,Europe
French Polynesia,Australia
Papeete,French Polynesia
"Gambia, The",Africa
Georgia,Asia
Germany,Europe
Husum,Germany
Gibraltar,Europe
Greece,Europe
Greenland,North America
Grenada,North America
Guadeloupe,North America
Guam,Australia
Guatemala,North America
San Jose,Guatemala
Georgetown,Guyana
Haiti,North America
Honduras,North America
San Lorenzo,Honduras
Hong Kong,Asia
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Baltimore,"Ireland, Republic of"
"Ireland, Republic of",Europe
Westport,"Ireland, Republic of"
Isle of Man,Europe
Israel,Asia
Sorrento Harbor,Italy
Italy,Europe
Abidjan,Ivory Coast
San Pedro,Ivory Coast
Jamaica,North America
Port Royal,Jamaica
Japan,Asia
Jordan,Asia
Kazakhstan,Asia
Kiribati,Australia
Kuwait,Asia
Latvia,Europe
Lebanon,Asia
Tripoli,Lebanon
Tripoli,Libya
Lithuania,Europe
Luxembourg,Europe
Macau,Asia
Malaysia,Asia
Maldives,Asia
Malta,Europe
Marshall Islands,Australia
Martinique,North America
Mauritius,Africa
Mexico,North America
Micronesia,Australia
Monaco,Europe
Montserrat,Montserrat
Plymouth,Australia
Myanmar,Asia
Nauru,Australia
Netherlands,Europe
New Caledonia,Australia
New Zealand,Australia
Westport,New Zealand
Nicaragua,North America
Norfolk Island,Australia
Norway,Europe
Oman,Asia
Pakistan,Asia
Palau,Australia
Panama,North America
Papua New Guinea,Africa
Philippines,Asia
San Jose,Philippines
Poland,Europe
Papeete,Polynesia
Polynesia,Australia
Portugal,Europe
Qatar,Asia
Romania,Europe
Samoa,Australia
"Samoa, American",Australia
Saudi Arabia,Asia
Senegal,Africa
Singapore,Asia
Slovenia,Europe
Solomon Islands,Australia
Argentina,South America
Aruba,South America
Brazil,South America
Chile,South America
Colombia,South America
Ecuador,South America
French Guiana,South America
Guyana,South America
Netherlands Antilles,South America
Paraguay,South America
Peru,South America
Suriname,South America
Trinidad and Tobago,South America
Uruguay,South America
Venezuela,South America
Cartagena,Spain
Spain,Europe
Sri Lanka,Asia
St. Kitts-Nevis,North America
St. Lucia,North America
St. Vincent and Grenadines,North America
Husum,Sweden
Sweden,Europe
Switzerland,Europe
Syria,Asia
Taiwan,Asia
Tajikistan,Asia
Thailand,Asia
Tonga,Australia
Scarborough,Trinidad and Tobago
Turkey,Asia
Turkmenistan,Asia
Tuvalu,Australia
Ukraine,Europe
United Arab Emirates,Asia
Norwich Harbor,United Kingdom
Ardrossan,United Kingdom
Boston,United Kingdom
Chatham,United Kingdom
Iona,United Kingdom
Liverpool,United Kingdom
New Haven,United Kingdom
Plymouth,United Kingdom
Portland,United Kingdom
Portsmouth,United Kingdom
Scarborough,United Kingdom
United Kingdom,Europe
Weymouth,United Kingdom
Adak,United States of America
Ala Wai Harbor,United States of America
Alameda,United States of America
Albany,United States of America
Alcoa Intalco Works,United States of America
Alexandria Bay,United States of America
Algonac,United States of America
Alliance,United States of America
Alliance (Louis.),United States of America
Allyn,United States of America
United States of America,North America
Uzbekistan,Asia
Vanuatu,Australia
Matanzas,Venezuela
Vietnam,Asia
Yemen,Asia
Banana,Zaire
Matadi,Zaire
Africa,Locations
Asia,Locations
Europe,Locations
Australia,Locations
North America,Locations
South America,Locations
Guinea,Africa
"Gambia, The",Africa
Cote D'ivoire,Africa
Senegal,Africa
Algeria,Africa
Zimbabwe,Africa
Benin,Africa
Cape Verde,Africa
Libya,Africa
Morocco,Africa
Ivory Coast,Africa
Seychelles,Africa
Kenya,Africa
Ascension,Africa
Tunisia,Africa
Reunion,Africa
Cameroon,Africa
Sierra Leone,Africa
Nigeria,Africa
Gabon,Africa
Liberia,Africa
Sudan,Africa
Madagascar,Africa
Comoros,Africa
Guinea-Bissau,Africa
Zaire,Africa
Mauritania,Africa
Somalia,Africa
Mozambique,Africa
"Congo, Democratic Republic of",Africa
Namibia,Africa
Angola,Africa
Eritrea,Africa
Equatorial Guinea,Africa
Tanzania,Africa
Ghana,Africa
South Africa,Africa
Togo,Africa
Egypt,Africa
Kabul,Afghanistan
Durres,Albania
Sarande,Albania
Shengjin,Albania
Vlore,Albania
Balti,Moldova
Floarea,Moldova
Soarelui,Moldova
Algiers,Algeria
Annaba,Algeria
Arzew,Algeria
Arzew El-Djedid,Algeria
Bejaia,Algeria
Beni Saf,Algeria
Bethioua,Algeria
Port Methanier,Algeria
Cherchell,Algeria
Collo,Algeria
Dellys,Algeria
Djen Djen,Algeria
El Harrach,Algeria
Ghazaouet,Algeria
Jijel,Algeria
Mers El Kebir,Algeria
Mostaganem,Algeria
Oran,Algeria
Skikda,Algeria
Tenes,Algeria
Ambriz,Angola
Port Salazar,Angola
Cabinda,Angola
Cuio,Angola
Futila Terminal,Angola
Kiabo Marine Terminal,Angola
Kiame Marine Terminal,Angola
Lobito,Angola
Lombo Marine Terminal,Angola
Luanda,Angola
Malongo,Angola
Mocamedes,Angola
Namibe,Angola
Palanca Terminal,Angola
Porto Amboim,Angola
Porto de Luanda,Angola
Quinfuquena Terminal,Angola
Soyo,Angola
Takula Terminal,Angola
Corito Bay,Anguilla
Sombrero Island,Anguilla
The Valley,Anguilla
Saint John's Harbor,Antigua and Barbuda
Arroyo Seco,Argentina
Atucha,Argentina
Bahia Blanca,Argentina
Barranqueras,Argentina
Port Coronel Rosales,Argentina
Buenos Aires,Argentina
Cabo San Antonio (Tsa),Argentina
Caleta Cordova,Argentina
Caleta Olivares,Argentina
Caleta Olivia,Argentina
Caleta Paula,Argentina
Camarones,Argentina
Campana,Argentina
Punta Colorada,Argentina
Comodoro Rivadavia,Argentina
Puerto Acevedo,Argentina
Concepcion Del Uruguay,Argentina
Corrientes,Argentina
Cullen Oil Terminal,Argentina
Diamante,Argentina
Dock Sud,Argentina
Puerto Belgrano,Argentina
Puerto Deseado,Argentina
Formosa,Argentina
General Lagos,Argentina
Golfo San Matias (Tsa),Argentina
Ibicuy,Argentina
Ingeniero Buitrango,Argentina
La Plata,Argentina
Mar Del Plata,Argentina
Puerto Galvan,Argentina
Necochea,Argentina
Punta Loyola,Argentina
Posadas,Argentina
Puerto Ingeniero White,Argentina
Puerto Madryn,Argentina
Puerto Martins,Argentina
Puerto Parana,Argentina
Puerto Quequen,Argentina
Puerto Rosario Ente Administrador (ENAPRO),Argentina
Puerto Santa Cruz,Argentina
Punta Quilla,Argentina
Ramallo,Argentina
Rawson,Argentina
Recalada,Argentina
Rio Cullen Marine Terminal,Argentina
Rio Gallegos,Argentina
River Plate,Argentina
Rosario,Argentina
San Antonio Este,Argentina
San Antonio Oeste,Argentina
San Julian,Argentina
San Nicolas,Argentina
San Sebastian Terminal,Argentina
Santa Fe,Argentina
Terminales Rio de la Plata,Argentina
Ushuaia,Argentina
Villa Constitucion,Argentina
Zarate,Argentina
Aruba Coastal Terminal,Aruba
Barcadera,Aruba
Oranjestad,Aruba
San Nicolas Bay,Aruba
Ascension Island,Ascension
Clarence Bay,Ascension
Beauty Point Harbor,Australia
Coffs Harbor,Australia
Dover Harbor,Australia
Triabunna Harbor,Australia
Wollongong Harbor,Australia
Abbot Point,Australia
Adelaide,Australia
Airlie Island,Australia
Altona,Australia
Ballast Head,Australia
Barrow Island,Australia
Barrow Island Terminal,Australia
Beadon Point,Australia
Beauty Point (Tasmania),Australia
Bell Bay,Australia
Bing Bong,Australia
Botany Bay,Australia
Bowen,Australia
Brisbane,Australia
Broome,Australia
Bunbury,Australia
Bundaberg,Australia
Burketown,Australia
Burnie,Australia
Bowen (Port Denison),Australia
Esperance Port Authority,Australia
Busselton,Australia
Cairns,Australia
Cairns Seaport,Australia
Cape Cuvier,Australia
Cape Flattery,Australia
Cape Jervis,Australia
Cape Leeuwin,Australia
Carnarvon,Australia
Catherine Hill Bay,Australia
Challis Terminal,Australia
Christmas Island (Austr.),Australia
Coode Island,Australia
Cooktown,Australia
Cossack,Australia
Crib Point,Australia
Currie,Australia
Dalrymple Bay,Australia
Dampier,Australia
Darwin,Australia
Derby,Australia
Port Alma,Australia
Devonport,Australia
Port Augusta,Australia
Port Bonython,Australia
Port Botany,Australia
Echuca,Australia
Eden,Australia
Elang,Australia
Esperance,Australia
Port Giles,Australia
Exmouth Gulf,Australia
Port Hedland,Australia
Finucane Island,Australia
Fisherman Islands,Australia
Port Huon,Australia
Port Kembla,Australia
Fremantle,Australia
Fremantle Port,Australia
Geelong,Australia
Geraldton,Australia
Gladstone,Australia
Gore Bay,Australia
Port Latta,Australia
Gove,Australia
Grassy,Australia
Great Barrier Reef,Australia
Port Lincoln,Australia
Griffin Venture,Australia
Groote Eylandt,Australia
Port Phillip Bay,Australia
Hastings,Australia
Hay Point,Australia
Hobart,Australia
Hydrographers Passage,Australia
Hythe,Australia
Port Pirie,Australia
Innisfail,Australia
Jabiru Terminal,Australia
Jervis Bay,Australia
Port Stanvac,Australia
Karumba,Australia
Port Walcott,Australia
Kingscote,Australia
Klein Point,Australia
Koolan Island,Australia
Kwinana,Australia
Lady Barron,Australia
Laminaria,Australia
Launceston,Australia
Long Reach,Australia
Lucinda,Australia
Mackay,Australia
Mackay Seaport,Australia
Maryborough,Australia
Melbourne,Australia
Milner Bay,Australia
Mourilyan,Australia
Newcastle,Australia
Nhulunbuy,Australia
Normanton,Australia
North West Cape,Australia
Onslow,Australia
Penneshaw,Australia
Perth (Australia),Australia
Pinkenba,Australia
Point Murat,Australia
Quintell Beach,Australia
Rapid Bay,Australia
Risdon,Australia
Rockhampton,Australia
Roebourne,Australia
Saladin Terminal,Australia
Skardon River,Australia
Skua,Australia
Smithton,Australia
Spring Bay,Australia
Stanley,Australia
Strahan,Australia
Thevenard,Australia
Thursday Island,Australia
Torres Strait,Australia
Townsville,Australia
Trial Bay,Australia
Urangan,Australia
Useless Loop,Australia
Varanus Island Terminal,Australia
Wallaroo,Australia
Wandoo offshore Terminal,Australia
Weipa,Australia
Whitemark,Australia
Whyalla,Australia
Williamstown,Australia
Withnell Bay,Australia
Wyndham,Australia
Yamba,Australia
Yampi Sound,Australia
Yarraville,Australia
Enns,Austria
Krems,Austria
Linz,Austria
Vienna,Austria
Baku,Azerbaijan
Marsh Harbor,Bahamas
Clifton Pier,Bahamas
Clifton Point,Bahamas
Great Inagua Island,Bahamas
Great Isaac Anchorage,Bahamas
